"ParticipantID","BT_ACC","BT_ACC_Interference","BT_ACC_Consistent","BT_ACC_Inconsistent","BT_RTc","BT_RTc_Interference","BT_RTc_Consistent","BT_RTc_Inconsistent","BT_LogRTc","BT_LogRTc_Interference","BT_LogRTc_1","BT_LogRTc_Consistent","BT_LogRTc_Inconsistent","BT_LogRTc_VeryIntuitive","BT_RTc_VeryIntuitive","BT_ACC_VeryIntuitive","BT_LogRTc_VeryCounterIntuitive","BT_RTc_VeryCounterIntuitive","BT_ACC_VeryCounterIntuitive","BT_ACC_CounterIntuitive","BT_RTc_CounterIntuitive","BT_LogRTc_CounterIntuitive","BT_ACC_Neutral","BT_RTc_Neutral","BT_LogRTc_Neutral","BT_ACC_Intuitive","BT_RTc_Intuitive","BT_LogRTc_Intuitive","BT_LogRTc_Inconsistent_1","BT_LogRTc_Consistent_1","BT_LogRTc_Intuitive_1","BT_LogRTc_Neutral_1","BT_LogRTc_CounterIntuitive_1","BT_LogRTc_VeryCounterIntuitive_1","BT_LogRTc_VeryIntuitive_1","BT_RT_Inconsistent","BT_RT_Consistent","BT_RT","BT_EFF","BT_EFF_Interference","BT_EFF_Consistent","BT_EFF_Inconsistent","BT_EFF_VeryIntuitive","BT_EFF_VeryCounterIntuitive","BT_EFF_CounterIntuitive","BT_EFF_Intuitive","BT_EFF_Neutral"
86424,0.950617283950617,0.037037037037037,0.962962962962963,0.925925925925926,0.609208441558442,-0.0986046923076923,0.548567307692308,0.647172,-0.259143427812278,-0.0483579554407191,0.19781725226041,-0.290097285872552,-0.241739330431833,-0.309168594609737,0.523375,0.888888888888889,-0.24319708552372,0.587664705882353,0.944444444444444,0.916666666666667,0.677827272727273,-0.240988365687527,0.962962962962963,0.633346153846154,-0.244924278771663,1,0.559763888888889,-0.281621148656025,0.204412640588619,0.185374601047942,0.188213895214327,0.203918183926524,0.207196499329105,0.199008679504145,0.178986189173577,0.636614814814815,0.544083333333333,0.601846296296296,1.56041384048915,0.324688237314537,1.75541442127479,1.43072618396025,1.69837857920017,1.60711445657844,1.35236025983199,1.78646750862219,1.52043705817921
86602,1,0,1,1,1.12859074074074,0.127631481481482,1.21411666666667,1.08648518518519,-0.00454597781187994,-0.00628443207984595,0.309528959779126,-0.00818651167258638,-0.00190207959274043,-0.0124121468761991,1.08318333333333,1,0.000971241136748915,1.11465555555556,1,1,1.0724,-0.00333873995748511,1,1.08517037037037,-0.00354934217031301,1,1.27958333333333,-0.00607369407078001,0.308773450938393,0.311757022980934,0.314720921930875,0.308056405418051,0.30703643898838,0.312247474838417,0.305829225081053,1.08648518518519,1.21411666666667,1.12859074074074,0.886060787051698,-0.0967550363862058,0.823644075939984,0.92039911232619,0.923204751427121,0.897138129367318,0.93248787765759,0.781504395962227,0.921514286884463
86726,0.987654320987654,0,0.981481481481482,0.981481481481482,0.97296,0.0099584905660377,0.97787358490566,0.967915094339623,-0.016450043881398,0.00264044947868936,0.293923561446402,-0.0158756765977926,-0.018516126076482,-0.0183499970486146,0.964638888888889,1,-0.0365636695806827,0.933411111111111,1,0.972222222222222,0.98566,-0.00923453227432164,1,0.973088888888889,-0.014985953320132,0.972222222222222,0.98468,-0.0146031689373699,0.292935284100652,0.294461511068355,0.295399818363033,0.294365549767907,0.297160178171697,0.284720212295843,0.292637024662035,0.964625925925926,0.978374074074074,0.97202962962963,1.01510269793995,-0.0103265594277389,1.00368953270802,1.01401609213576,1.03665735594782,1.07133929315414,0.986366721001382,0.987348399705714,1.02765534723332
87839,1,0,1,1,0.77972212962963,-0.281471203703704,0.667702962962963,0.949174166666667,-0.176367962133347,-0.0270412498400879,0.228760392647091,-0.197355375115075,-0.170314125274987,-0.179516444359939,0.6880575,1,-0.181012723573031,0.670209166666667,1,1,1.08865666666667,-0.164964826125966,1,0.722289259259259,-0.161434386009977,1,0.657525694444444,-0.206274840492643,0.235826161319863,0.218225411740635,0.215312175976136,0.232229604880775,0.242970651646639,0.221537180666313,0.224051883269634,0.949174166666667,0.667702962962963,0.77972212962963,1.28250816797389,0.444124526278019,1.49767195215437,1.05354742587635,1.45336690610886,1.49207150504009,0.91856324461033,1.52085311410517,1.38448687583358
88062,0.987654320987654,0.0370370370370371,1,0.962962962962963,0.75809078125,0.033352247150997,0.740299074074074,0.706946826923077,-0.152572196090885,0.00929071730648615,0.238714000935319,-0.162375600664343,-0.171666317970829,-0.173596496255488,0.729505833333333,1,-0.197111243304158,0.661101470588235,0.944444444444444,0.972222222222222,0.729214571428571,-0.159307354237498,1,0.825132222222222,-0.124381859336741,1,0.745695694444445,-0.156765152868771,0.228590498727866,0.234658369120753,0.236286289139455,0.252518190431136,0.233930288610339,0.217596813675715,0.23140252908335,0.698964351851852,0.740299074074074,0.754798549382716,1.30281800730927,-0.0113379943197378,1.35080541773032,1.36214341205006,1.37079095780591,1.42859226073737,1.33324574180901,1.34102960155217,1.21192697735986
88190,0.987654320987654,-0.0185185185185185,0.981481481481482,1,0.67872,0.109932354996506,0.743547169811321,0.633614814814815,-0.193404112284902,0.0567752863457641,0.220537354143291,-0.160549955081764,-0.217325241427528,-0.137521325970861,0.814277777777778,1,-0.25213657288321,0.570466666666667,1,1,0.665188888888889,-0.199919575699687,0.981481481481482,0.659849056603774,-0.201885798286119,0.972222222222222,0.707171428571429,-0.172393250053086,0.209877862772883,0.235327991236117,0.228493230842058,0.216607330899559,0.217377385811494,0.194878816695661,0.248617803113452,0.633614814814815,0.768966666666667,0.68630987654321,1.45517197222368,-0.258246978403119,1.31999894738425,1.57824592578737,1.22808214505015,1.7529508005142,1.50333238679072,1.37480416055019,1.48743333290971
88236,0.993827160493827,-0.0185185185185185,0.981481481481482,1,0.639267111801242,-0.0494526310272536,0.630452924528302,0.679905555555556,-0.219584610620326,-0.0198583375587903,0.20994767493022,-0.223310492149188,-0.203452154590397,-0.246979310922782,0.573332058823529,0.944444444444444,-0.206811393468043,0.710318055555555,1,1,0.664699305555556,-0.201772535151574,1,0.60727962962963,-0.232060182927484,1,0.657426666666667,-0.212133549950546,0.217923822798074,0.208169038955362,0.21386964516686,0.203717225333987,0.217211875749271,0.21934771689568,0.196097166978073,0.679905555555556,0.633535092592593,0.640240092592593,1.55463520983201,0.0859953832987712,1.55678789533067,1.4707925120319,1.64729048360288,1.40782004931281,1.50443966413384,1.52108219928205,1.64668787031418
88463,0.993827160493827,0.0185185185185185,1,0.981481481481482,0.652097142857143,-0.0108471837875611,0.665060740740741,0.675907924528302,-0.228230109336353,-0.0248136660726162,0.210436738835279,-0.229523004357286,-0.20470933828467,-0.199903810094538,0.721024444444444,1,-0.17156680932926,0.716052222222222,1,0.972222222222222,0.655262285714286,-0.221754067461738,1,0.615763703703704,-0.250022415532812,1,0.637078888888889,-0.244332601488661,0.218133289386513,0.211976961987553,0.205826218757698,0.201342493845683,0.212107935794183,0.229849254704931,0.224278448447264,0.66948,0.665060740740741,0.650101481481482,1.52404771494536,0.051528591498726,1.50362205846974,1.45209346697101,1.38691553068011,1.39654618610995,1.48371460317211,1.56966431856512,1.62399958618085
89269,1,0,1,1,0.71,-0.0411111111111111,0.679333333333333,0.720444444444444,-0.170641134133278,-0.0269427794682644,0.229048580153649,-0.189036673384099,-0.162093893915835,-0.142730262082641,0.761111111111111,1,-0.141524305646844,0.765222222222222,1,1,0.698055555555556,-0.17237868805033,1,0.730222222222222,-0.160792835099901,1,0.638444444444444,-0.212189879034828,0.231945035113547,0.221483846743992,0.211544719447099,0.233716858603408,0.227084956458917,0.241665192422808,0.241362101337776,0.720444444444444,0.679333333333333,0.71,1.40845070422535,0.0839993243730017,1.4720314033366,1.3880320789636,1.31386861313869,1.30680993175548,1.43255073617191,1.56630699617125,1.36944613511869
90069,0.962962962962963,0,0.962962962962963,0.962962962962963,0.69028141025641,0.0154519230769231,0.696080769230769,0.680628846153846,-0.215924652338589,-0.00524038942683794,0.216685683237628,-0.216951644191277,-0.211711254764439,-0.195960603153491,0.8069,0.888888888888889,-0.210205201053353,0.678505882352941,0.944444444444444,0.972222222222222,0.68166,-0.212442766566966,0.962962962962963,0.694134615384615,-0.219111058060051,1,0.646827777777778,-0.226280995763626,0.216956373138638,0.217020919865858,0.209714874057412,0.216079756708387,0.216960425912728,0.216948029191982,0.233459522934862,0.719198148148148,0.71607037037037,0.708928395061728,1.39502954687026,-0.031406687584802,1.38340693426586,1.41481362185067,1.10160972721389,1.39194731985119,1.42625681750759,1.54600657911689,1.38728560947705
