"ParticipantID","Age","Gender","UKdata_FirstLanguage","Site","EducationScore","HighestBiologyScore","HighestChemistryScore","HighestPhysicsScore","HighestEngineeringScore","HighestMathematicsScore","HighestPsychologyScore","HighestOtherScienceScore1","HighestOtherScienceScore2","STEMscore"
50167,21,"female","English","UK","16",10,10,10,10,14,14,0,0,20
51091,28,"Male","English","UK","20",10,10,10,0,10,14,0,0,20
51489,55,"Female",NA,"UK","24",10,10,8,8,10,22,0,0,18
51723,23,"Male","English","UK","20",10,10,14,14,14,8,0,0,24
51768,25,"female","English","UK","24",14,10,10,0,10,14,16,20,24
52097,20,"Male","English","UK","16",10,14,14,14,14,0,0,0,24
52586,19,"male","English","UK","16",14,14,10,0,14,0,0,0,24
53808,24,"female","English","UK","20",8,10,8,0,10,0,0,0,16
54489,18,"Female","English","UK","16",10,10,10,0,10,0,0,0,20
55043,19,"Female","English","UK","16",14,14,10,0,10,10,0,0,24
55067,22,"Female","English","UK","20",10,10,10,0,10,14,0,0,20
55072,22,"Female","English","UK","16",10,10,10,0,10,0,0,0,20
55409,25,"female","English","UK","14",8,8,8,8,10,10,0,0,16
55517,28,"Male","English","UK","20",14,14,14,14,14,14,14,14,28
55626,23,"female","English","UK","16",10,10,10,0,10,0,0,0,20
55694,19,"Male",NA,"UK","18",10,10,10,10,10,10,0,0,20
55886,28,"Male","English","UK","16",10,10,10,0,10,0,0,0,20
56149,27,"Female","English","UK","16",14,10,10,10,14,0,14,14,24
56774,23,"female","English","UK","20",10,10,10,10,10,10,10,10,20
58823,22,"Female","English","UK","16",10,10,10,0,10,0,0,0,20
58870,25,"Male","English","UK","20",10,10,10,10,10,0,10,0,20
58879,19,"Female","English","UK","16",10,10,10,10,14,14,0,0,20
59228,24,"Female","English","UK","16",14,14,10,0,10,14,10,10,24
60074,35,"female","English","UK","14",10,10,0,0,10,10,0,0,10
60277,22,"Male","English","UK","20",14,14,10,10,14,14,0,0,24
61882,29,"Male","English","UK","24",10,10,10,10,10,0,22,20,20
63241,26,"Male","English","UK","16",10,10,10,0,10,10,0,0,20
63519,19,"Female","English","UK","16",14,10,14,0,14,0,0,0,28
63591,21,"Female","English","UK","16",10,10,14,14,14,0,0,0,24
64105,55,"Female","English","UK","20",20,14,10,0,10,0,0,0,30
64297,23,"Male","English","UK","16",10,10,10,0,14,10,0,0,20
64394,19,"female","English","UK","16",10,10,10,0,10,0,0,0,20
64939,18,"Female","English","UK","16",14,14,14,0,10,0,0,0,28
64947,21,"Female",NA,"UK","16",14,14,10,10,14,10,10,0,24
65558,19,"Male","English","UK","16",10,10,10,8,10,0,0,0,20
65618,21,"Male","English","UK","16",10,10,10,0,10,0,0,0,20
66023,19,"female","English","UK","16",10,10,10,0,10,0,0,0,20
66291,18,"Male","English","UK","16",10,10,14,14,14,0,14,0,24
66363,18,"Female",NA,"UK","16",10,10,10,0,10,0,0,0,20
66468,31,"female","English","UK","16",0,0,0,0,10,10,0,0,0
66762,25,"female","English","UK","16",14,8,10,8,14,14,0,0,24
66937,19,"Female","English","UK","16",8,10,10,0,14,14,10,14,18
