"ParticipantID","CB_ACC","CB_RTc","CB_LogRTc","CB_LogRTperC","CB_RTperCcorrect","CB_ACC_forward","CB_RTc_forward","CB_LogRTc_1","CB_LogRTperC_forward","CB_LogRTc_1_forward","CB_RTperCcorrect_forward","CB_ACC_backward","CB_RTc_backward","CB_LogRTc_backward","CB_LogRTc_1_backward","CB_RTperCcorrect_back","CB_Totalclick","CB_Correctclick","CB_Totalclick_forward","CB_Correctclick_forward","CB_Totalclick_backward","CB_Correctclick_backward","CB_EFF","CB_EFF_forward","CB_EFF_backward"
10700,0.5625,2.91893888888889,0.439150802389381,-0.125990805607494,0.821524047619048,0.5625,3.29817777777778,0.579521558337542,-0.0492908576307983,0.622849260518492,0.955172354497355,0.5625,2.5397,0.378118183524507,0.536193856156594,0.687875740740741,5.40625,3.875,5.5,3.875,5.3125,3.875,0.192707014915999,0.170548720505599,0.22148285230539
10780,0.53125,7.92688235294118,0.423225582586446,-0.0278941317029585,1.35151985294118,0.5,1.6362625,0.598167953306278,-0.23680049140969,0.411124314583008,0.501437708333333,0.5625,13.5185444444444,0.631990145973796,0.76442896550474,2.10714842592593,5.375,4.03125,5.4375,3.875,5.3125,4.1875,0.0670187819556683,0.305574441753692,0.0416095092420371
11111,0.75,6.42227083333333,0.759301358934051,0.132346110233367,1.57552199404762,0.75,7.29721666666667,0.834600819050753,0.234276562410241,0.883155704353267,1.61179011904762,0.75,5.547325,0.702393136186813,0.786045933748239,1.53925386904762,5.34375,4.25,5.4375,4.3125,5.25,4.1875,0.116781122980254,0.102778913421327,0.135200299243329
11620,0.6875,1.83018113636364,0.239034225579432,-0.347537525247583,0.44507913474026,0.5625,1.90324777777778,0.442184906674465,-0.30858847495483,0.453816210267863,0.51034946957672,0.8125,1.77959653846154,0.2259219429889,0.434132465725189,0.39989197985348,5.28125,4.3125,5.1875,3.875,5.375,4.75,0.37564587807193,0.295547435582335,0.456564160718365
11738,0.625,1.74262,0.222398206717966,-0.418887984458178,0.462033702380952,0.6875,1.93666363636364,0.430731173350504,-0.370631075099197,0.461159389143797,0.495239632034632,0.5625,1.50545555555556,0.162653787207241,0.393541131825369,0.421448677248677,5.25,4.125,5.5,4.375,5,3.875,0.358655358024125,0.354991949604052,0.37364105364932
12073,0.59375,3.31095789473684,0.481951822793342,-0.0522673674858434,0.908237932330827,0.625,3.48754,0.613048917555285,-0.0650498390776367,0.62968121462915,0.979867738095238,0.5625,3.11475555555556,0.455667159272287,0.594568587473214,0.828649259259259,5.46875,3.96875,5.4375,4.125,5.5,3.8125,0.17932876795076,0.179209414085573,0.180592020775663
12656,0.67741935483871,3.41724214285714,0.496719844942479,-0.0818349537960786,0.822976964285714,0.75,3.6056275,0.623948865906027,-0.0955297932426386,0.642100756311109,0.812870638888889,0.6,3.16606166666667,0.46459105450662,0.599746345365918,0.836452064814815,5.25806451612903,4.2258064516129,5.4375,4.5,5.06666666666667,3.93333333333333,0.198235690220162,0.208008176108042,0.189509890573831
12703,0.612903225806452,2.18617894736842,0.310729730308143,-0.247789184155334,0.577388521303258,0.666666666666667,2.14539,0.490043072722933,-0.264700089304174,0.480388880962749,0.52760019047619,0.5625,2.2315,0.330058100212409,0.50076995245647,0.632708888888889,5.12903225806452,4.12903225806452,4.93333333333333,4.13333333333333,5.3125,4.125,0.280353640100791,0.310743811925415,0.252072596907909
12970,0.65625,1.32614285714286,0.0840168582700211,-0.530025928334264,0.331624937641723,0.625,1.60648,0.354974106180391,-0.464130242261214,0.407653074981147,0.400188083333333,0.6875,1.07129090909091,-0.00634471271660072,0.30708413454334,0.269294805194805,5.25,4.34375,5.25,4.0625,5.25,4.625,0.494856188732091,0.389049350131966,0.641749121705334
13339,0.53125,2.48502352941176,0.364362089256463,-0.171643570712746,0.665279411764706,0.5625,2.57917777777778,0.526906026311122,-0.142131051901386,0.538558985617481,0.677715,0.5,2.3791,0.343538889334503,0.513796447091467,0.651289375,5.5,3.90625,5.5,3.875,5.5,3.9375,0.213780671978488,0.21809275996657,0.210163507208608
