"ParticipantID","MRIB_ACC","MRIB_RTc","MRIB_LogRTc","MRIB_ACC_Level1","MRIB_RTc_Level1","MRIB_LogRTc_Level1","MRIB_ACC_Level2","MRIB_RTc_Level2","MRIB_LogRTc_Level2","MRIB_ACC_Level3","MRIB_RTc_Level3","MRIB_LogRTc_Level3","MRIB_ACC_MD","MRIB_RTc_MD","MRIB_LogRTc_MD","MRIB_ACC_PD","MRIB_RTc_PD","MRIB_LogRTc_PD","MRIB_LogRTc_1","MRIB_LogRTc_Level1_1","MRIB_LogRTc_Level2_1","MRIB_LogRTc_Level3_1","MRIB_LogRTc_MD_1","MRIB_LogRTc_PD_1","MRIB_EFF","MRIB_EFF_PD","MRIB_EFF_MD","MRIB_EFF_Level1","MRIB_EFF_Level2","MRIB_EFF_Level3"
91791,0.4875,9.75963448717949,0.92153417217515,0.740740740740741,9.99559625,0.934221092479826,0.307692307692308,7.53811,0.823491146743517,0.407407407407407,10.9462672727273,0.969771062844197,0.575,9.48613173913044,0.894203904640524,0.4,10.1527946875,0.960821431756175,0.98021235151141,0.990151191941582,0.892970003664192,1.02559071279998,0.957918779021662,1.01225936196542,0.0499506411475136,0.0393980191968695,0.0606148023043067,0.0741067088159689,0.0408182299929701,0.0372188433971886
92046,0.835443037974684,12.4781590909091,1.01146613204153,0.923076923076923,11.0515916666667,0.939845979179871,0.807692307692308,12.5167952380952,1.01997644885008,0.777777777777778,14.0698857142857,1.08480741850344,0.875,12.8954342857143,1.01669549424817,0.794871794871795,12.0070419354839,1.00556201342112,1.06098357238196,0.998994796297994,1.06790945908431,1.12490200120415,1.06629201145226,1.05499017343163,0.066952427188025,0.0662004679539551,0.0678534728349037,0.0835243420964482,0.0645286826482606,0.055279608773799
92505,0.3125,2.913108,0.126577080231585,0.222222222222222,2.43695,0.0382762618003076,0.346153846153846,3.18811111111111,0.0138852354834667,0.37037037037037,2.9513,0.280980231563657,0.35,3.20704285714286,0.113074813247249,0.275,2.53900909090909,0.143761783666194,0.42792019701783,0.376245893047496,0.372935304162911,0.508411182969459,0.419454427454466,0.438694812825749,0.107273743369624,0.108309970604137,0.109134805985042,0.0911886670724562,0.108576468664295,0.125493975661698
92892,0.375,5.18159,0.561976417970877,0.333333333333333,4.80544444444444,0.520991812274868,0.346153846153846,5.40756666666667,0.606869066667827,0.444444444444444,5.29421666666667,0.559045385720172,0.325,4.71301538461538,0.542564357780617,0.425,5.53991176470588,0.576820934586959,0.697228454729311,0.659103305641029,0.732567962113582,0.699317686007319,0.674976265930801,0.71424483439876,0.0723716079427357,0.0767160232961876,0.0689579756223355,0.0693657656824435,0.0640128670604485,0.083949047125847
93233,0.35,4.70223928571429,0.432824469549883,0.407407407407407,6.20022727272727,0.663454318769483,0.346153846153846,3.59465555555556,0.259984031304858,0.296296296296296,3.8885375,0.310153919898587,0.3,5.28735833333333,0.481726667612061,0.4,4.2634,0.39614782100325,0.628042433511355,0.780228929002701,0.506125235731227,0.555942849713399,0.657276106317649,0.606117178906635,0.0744326221473508,0.0938218323403856,0.0567391088492521,0.0657084634944684,0.0962968052999859,0.0761973611663244
93694,0.848101265822785,9.89000597014925,0.872505272197371,0.814814814814815,10.7268136363636,0.881678500286406,0.884615384615385,8.76722173913043,0.799309635269736,0.846153846153846,10.2270181818182,0.939854755441772,0.743589743589744,9.53903103448276,0.863299946356589,0.95,10.1578552631579,0.879530389286389,0.952609379545969,0.955179961671821,0.909008335832015,0.995621706757433,0.934775571774007,0.966219390740362,0.085753362372337,0.0935236794961638,0.07795233508537,0.0759605641000989,0.100900309235606,0.0827371019695806
94127,0.924050632911392,11.518004109589,0.985366711661548,0.962962962962963,9.93087692307692,0.906261930725322,0.923076923076923,13.2655291666667,1.05300813303525,0.884615384615385,11.4886434782609,1.00420715476473,0.871794871794872,11.6207676470588,0.966531026073785,0.975,11.4284153846154,1.0017875657637,1.03886351518794,0.970305731497811,1.09814777274465,1.05450178451761,1.02429422505945,1.05156494760765,0.0802266281657337,0.0853136648596548,0.0750204201884649,0.0969665589878849,0.0695846288134823,0.0769991153689536
94468,0.85,12.4441146323529,1.00681451866621,0.851851851851852,11.0106493478261,0.937156611952671,0.884615384615385,13.2588495652174,1.04688258826193,0.814814814814815,13.0909690909091,1.0377493483803,0.875,12.1529984285714,0.983901199260295,0.825,12.7528742424242,1.03111652409673,1.05695567885401,0.997212784798902,1.09169621515551,1.08309450741459,1.03661550583772,1.07852858962885,0.0683053817095288,0.0646912989430665,0.071998692762347,0.0773661775016057,0.0667188642773383,0.0622425130757245
94510,0.525,9.89070952380952,0.922684767852354,0.555555555555556,9.62386,0.910293521979442,0.346153846153846,9.10908888888889,0.875394867786257,0.666666666666667,10.5038944444444,0.956655756112829,0.575,9.06038695652174,0.88237701619585,0.475,10.8958368421053,0.971478361962859,0.980973355904563,0.970339478868963,0.939113768738203,1.01076471368408,0.945900900710104,1.0234294858768,0.0530801151056138,0.0435946322327842,0.063463073129135,0.0577268949834636,0.0380009296622496,0.0634685230504453
95432,0.425,4.18488235294118,0.277366035942387,0.407407407407407,2.21881818181818,0.0901126251580069,0.461538461538462,5.58158333333333,0.347440627399363,0.407407407407407,4.62727272727273,0.388174437864611,0.375,5.17046666666667,0.442759213620848,0.475,3.40678947368421,0.146792474617286,0.545092115078887,0.417634778170189,0.604326219943792,0.607930428498597,0.645019931286494,0.466201733862355,0.101556020971845,0.139427459098704,0.0725273025000967,0.18361459751225,0.0826895226632458,0.0880448228188896
95595,0.325,2.08285,-0.167491798185768,0.333333333333333,2.87043333333333,0.0166372809540295,0.384615384615385,1.32485,-0.196317326253695,0.259259259259259,2.1531,-0.363049859839898,0.375,1.5841,-0.187155752401846,0.275,2.76296363636364,-0.140677315163844,0.344067301737042,0.463632320174029,0.263473968725836,0.305474182334068,0.309434241044825,0.391294202680974,0.156036200398492,0.099530806841139,0.2367274793258,0.116126484967427,0.290308627101472,0.120412084556806
