"ParticipantID","SS_ACC","SS_ACC_Interference","SS_ACC_Go","SS_ACC_NoGo","SS_RTc","SS_RTc_Interference","SS_RTc_Go","SS_RTmean_Go","SS_RTmedian_Go","SS_meanGAP","SS_medianGAP","SS_LogRTc","SS_LogRTc_Interference","SS_LogRTc_Go_1","SS_LogRTc_1","SS_LogRTc_Go","SS_LogGAP","SS_LogStopGap_1","SS_StopSignalRTmean","SS_StopSignalRTmedian","SS_EFF","SS_EFF_Interference","SS_EFF_Go","SS_EFF_NoGo"
15940,0.883333333333333,0.583333333333333,1,0.416666666666667,0.379561874999126,0.264679999999126,0.379561874999126,0.379561874999126,0.323517500014532,0.114881875,0.1149625,-0.459807839717356,0.520011469880726,0.133737741711521,0.133737741711521,-0.459807839717356,-0.979819309598082,0.0467933144549121,0.264679999999126,0.8850375,2.32724462470148,1.06038855767114,2.63461655626583,1.57422799859469
16021,0.891666666666667,0.541666666666667,1,0.458333333333333,0.363693749999005,0.210481249999005,0.363693749999005,0.363693749999005,0.357599999994036,0.1532125,0.16575,-0.442740965252197,0.396207670402317,0.134461174952349,0.134461174952349,-0.442740965252197,-0.838948635654514,0.0615274210846986,0.210481249999005,0.83425,2.45169642499797,0.572016619083893,2.74956608410987,2.17754946502598
16062,0.925,0.375,1,0.625,0.701819791684546,0.276669791684546,0.701819791684546,0.701819791684546,0.709200000047701,0.42515,0.43355,-0.163172977401594,0.215018699863977,0.229388917983403,0.229388917983403,-0.163172977401594,-0.37819167726557,0.153300586112107,0.276669791684546,0.56645,1.31800215804653,-0.83414343061088,1.42486719788814,2.25901062849902
16258,0.925,0.375,1,0.625,0.774826041662446,0.395171874995779,0.774826041662446,0.774826041662446,0.630500000000211,0.379654166666667,0.36605,-0.15925334528896,0.2782889628275,0.239481987671916,0.239481987671916,-0.15925334528896,-0.437542308116461,0.138516721711127,0.395171874995779,0.63395,1.19381635394616,-0.290978014516125,1.29061227453639,1.58159028905252
16448,0.925,0.375,1,0.625,0.729226041666464,0.381421874999798,0.729226041666464,0.729226041666464,0.64170000000297,0.347804166666667,0.33315,-0.16870267359779,0.302579125727284,0.231199805286656,0.231199805286656,-0.16870267359779,-0.471281799325073,0.128797444328154,0.381421874999798,0.66685,1.26846813902332,-0.26728863962841,1.37131690705223,1.63860554668064
16726,1,0,1,1,1.44803020833308,0.607726041666415,1.44803020833308,1.44803020833308,1.31590000000597,0.840304166666667,0.83965,0.139750358216712,0.259542633281047,0.381465617535767,0.381465617535767,0.139750358216712,-0.119792275064335,0.256981440513851,0.607726041666415,0.16035,0.690593327573713,-0.95488494954265,0.690593327573713,1.64547827711636
17158,0.825,0.875,1,0.125,0.409673958331984,0.30220312499865,0.409673958331984,0.409673958331984,0.385699999987992,0.107470833333333,0.09005,-0.395974754930723,0.599703458674065,0.148285781496868,0.148285781496868,-0.395974754930723,-0.995678213604787,0.0439868520849186,0.30220312499865,0.90995,2.01379654044657,2.02733642544556,2.4409655035716,0.41362907812604
17608,0.825,0.770833333333333,0.979166666666667,0.208333333333333,0.35860212766062,0.266610460993953,0.35860212766062,0.356143750001054,0.330850000008923,0.0919916666666667,0.06675,-0.470902747703266,0.615877514839238,0.12993225631272,0.12993225631272,-0.470902747703266,-1.0867802625425,0.0377442985422169,0.264152083334388,0.912416666666667,2.30059984691663,1.9418228466932,2.73050991932024,0.788687072627045
17615,0.933333333333333,0.333333333333333,1,0.666666666666667,0.903918750000001,0.457981250000001,0.903918750000001,0.903918750000001,0.847849999999596,0.4459375,0.4089,-0.0730524756634958,0.295936258155764,0.273089615868491,0.273089615868491,-0.0730524756634958,-0.36898873381926,0.158426926719869,0.457981250000001,0.5911,1.0325411806463,-0.349369546788253,1.10629412212104,1.45566366890929
17715,0.891666666666667,0.541666666666667,1,0.458333333333333,0.467352083322901,0.284118749989567,0.467352083322901,0.467352083322901,0.438600000023854,0.183233333333333,0.18605,-0.34091882315472,0.409632490546129,0.165312407059127,0.165312407059127,-0.34091882315472,-0.750551313700849,0.0727750700912036,0.284118749989567,0.81395,1.90791203994826,0.526539195106319,2.13971443732516,1.61317524221884
18428,0.8,1,1,0,1.47844375000398,1.39720208333731,1.47844375000398,1.47844375000398,1.33204999995178,0.0812416666666667,0.0664,0.12854962690122,1.2743775963459,0.379697642120785,0.379697642120785,0.12854962690122,-1.14582796944468,0.033438445968923,1.39720208333731,0.9336,0.541109528176401,0.676386910220501,0.676386910220501,0
18865,0.95,0.25,1,0.75,0.88791666666643,0.407562499999763,0.88791666666643,0.88791666666643,0.848199999999224,0.480354166666667,0.4665,-0.0725138598633592,0.273014050122084,0.271659923412167,0.271659923412167,-0.0725138598633592,-0.345527909985443,0.167760920880385,0.407562499999763,0.5335,1.06992022524665,-0.713976740921755,1.1262318160491,1.84020855697086
19059,0.916666666666667,0.416666666666667,1,0.583333333333333,0.502127083333333,0.250814583333333,0.502127083333333,0.502127083333333,0.437399999999968,0.2513125,0.22905,-0.317920752723889,0.327515552094313,0.174484293259552,0.174484293259552,-0.317920752723889,-0.645436304818202,0.095704760947573,0.250814583333333,0.77095,1.82556706677012,-0.334227538281515,1.99152770920376,2.32575524748528
20521,0.891666666666667,0.541666666666667,1,0.458333333333333,0.531565624992557,0.343098749992557,0.531565624992557,0.531565624992557,0.48124000011012,0.188466875,0.2028275,-0.289505432033811,0.461093434666739,0.183093988445521,0.183093988445521,-0.289505432033811,-0.75059886670055,0.0744852207010669,0.343098749992557,0.7971725,1.67743477896855,0.54537107734393,1.88123526613295,1.33586418878902
21049,0.783333333333333,0.979166666666667,0.979166666666667,0,0.386607393620541,0.309363018620541,0.386607393620541,0.384082135420006,0.364674999989802,0.077244375,0.0512575,-0.425590014403309,0.746429404413204,0.140897706962748,0.140897706962748,-0.425590014403309,-1.17201941881651,0.0318336005762412,0.306837760420006,0.927909166666667,2.02617266575658,2.53271583219572,2.53271583219572,0
21072,0.791666666666667,0.989583333333333,0.989583333333333,0,0.330718947372313,0.25334811403898,0.330718947372313,0.329481250004224,0.328500000000076,0.0773708333333333,0.05825,-0.484202212517211,0.68278581393896,0.123859672215145,0.123859672215145,-0.484202212517211,-1.16698802645617,0.0319057713432139,0.25211041667089,0.931333333333333,2.39377475332683,2.99221844165853,2.99221844165853,0
