"ParticipantID","Age","Gender","CN_FirstLanguage","Site","EducationScore","CurrentEdScore","HighestEdScore","HighestBiologyScore","HighestChemistryScore","HighestPhysicsScore","HighestEngineeringScore","HighestMathematicsScore","HighestPsychologyScore","HighestOtherScienceScore","STEMscore"
48855,"19","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,10,14,0,0,24
48948,"22","Female","Chinese","CN","0_20_NA_NA",20,0,10,10,10,0,12,14,0,20
49680,"18","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,14,14,14,0,0,26
50041,"29","Male","Chinese","CN","0_24_NA_NA",24,0,8,8,8,0,12,20,0,16
50170,"23","Male","Chinese","CN","0_20_NA_NA",20,0,12,12,12,0,14,0,0,24
50707,"20","Female","Chinese","CN","0_16_NA_NA",16,0,14,14,14,12,14,14,0,28
50955,"22",NA,NA,"CN","0_20_NA_NA",20,0,14,14,14,14,14,16,0,28
51305,"18","Male","Chinese","CN","0_16_NA_NA",16,0,14,12,12,0,14,14,0,26
51600,"18","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,14,14,0,24
51716,"32","Male","Chinese","CN","0_24_NA_NA",24,0,10,10,10,0,12,0,0,20
51895,"18","Male","Chinese","CN","0_16_NA_NA",16,0,12,14,14,14,14,14,0,26
52712,"26",NA,"Chinese","CN","0_20_NA_NA",20,0,12,12,12,16,16,8,0,24
53670,"21","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,16,24
54209,"24","Female","Chinese","CN","0_24_NA_NA",24,0,14,14,14,0,18,14,0,28
54389,"22","Male","Chinese","CN","0_20_NA_NA",20,0,10,10,10,0,12,0,0,20
54910,"24","Male","Chinese","CN","0_20_NA_NA",20,0,14,12,18,18,22,18,0,32
55091,"23",NA,NA,"CN","0_NA_NA",0,NA,NA,NA,NA,0,NA,0,0,NA
56054,"19","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,14,14,14,0,0,26
56438,"20","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,14,14,8,0,24
56904,"19","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,0,24
57315,"19","Female","Chinese","CN","0_16_NA_NA",16,0,14,14,14,14,14,14,0,28
57521,"21","Female","Chinese","CN","0_16_NA_NA",16,0,16,12,12,0,14,0,0,28
58290,"25","Male","Chinese","CN","0_NA_NA",0,NA,12,12,12,12,12,0,20,24
59145,"23","Female","Chinese","CN","0_20_NA_NA",20,0,12,12,8,0,18,0,0,20
59464,"21","Male","Chinese","CN","0_16_NA_NA",16,0,12,12,14,0,12,0,12,26
60182,"19","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,14,NA,12,10,0,26
60777,"35","Male","Chinese","CN","0_NA_NA",0,NA,12,12,12,24,14,0,0,24
61063,"25","Male","Chinese","CN","0_20_NA_NA",20,0,14,14,14,16,14,12,0,28
61395,"18","Female","Chinese","CN","0_16_NA_NA",16,0,12,12,12,0,12,0,14,24
61643,"25","Male","Chinese","CN","0_20_NA_NA",20,0,12,12,12,0,14,14,0,24
