"ParticipantID","SS_ACC","SS_ACC_Interference","SS_ACC_Go","SS_ACC_NoGo","SS_RTc","SS_RTc_Interference","SS_RTc_Go","SS_RTmean_Go","SS_RTmedian_Go","SS_meanGAP","SS_medianGAP","SS_LogRTc","SS_LogRTc_Interference","SS_LogRTc_Go_1","SS_LogRTc_1","SS_LogRTc_Go","SS_LogGAP","SS_LogStopGap_1","SS_StopSignalRTmean","SS_StopSignalRTmedian","SS_EFF","SS_EFF_Interference","SS_EFF_Go","SS_EFF_NoGo"
26302,0.9,0.5,1,0.5,0.482425000001986,0.308458333335319,0.482425000001986,0.482425000001986,0.452399999976137,0.173966666666667,0.1664,-0.33083524269565,0.453093923819135,0.169143387503655,0.169143387503655,-0.33083524269565,-0.783929166514784,0.0691452956187081,0.308458333335319,0.8336,1.86557495983064,0.451896592626974,2.07286106647849,1.62096447385151
26312,0.8,0.84375,0.96875,0.125,0.34252473118421,0.251191397850877,0.34252473118421,0.338854166667913,0.328299999982121,0.0913333333333333,0.06635,-0.476754651190047,0.609458805303862,0.126988574217859,0.126988574217859,-0.476754651190047,-1.08621345649391,0.0375049011385363,0.247520833334579,0.9024,2.33559777489398,2.32325493457829,2.82826293053568,0.505007995957394
26828,0.95,0.25,1,0.75,1.29055208333333,0.761510416666666,1.29055208333333,1.29055208333333,1.20749999999998,0.529041666666667,0.5335,0.0528117080277647,0.395149264428795,0.343311595652181,0.343311595652181,0.0528117080277647,-0.34233755640103,0.178006576783041,0.761510416666666,0.4665,0.736119070488244,-0.210022575343424,0.77486217946131,0.984884754804734
26959,0.941666666666667,0.239583333333333,0.989583333333333,0.75,1.12397263158058,0.599643464913911,1.12397263158058,1.12693125000161,1.14175000000003,0.524329166666667,0.45095,0.0406937149960942,0.343450195415179,0.32452090417543,0.32452090417543,0.0406937149960942,-0.302756480419085,0.180506757914498,0.602602083334947,0.538633333333333,0.837802131660853,-0.364168745328332,0.880433656059525,1.24460240138786
27357,0.9,0.5,1,0.5,0.480417708324886,0.271813541658219,0.480417708324886,0.480417708324886,0.448200000047663,0.208604166666667,0.2151,-0.330930390969866,0.365033812436045,0.168834922766229,0.168834922766229,-0.330930390969866,-0.695964203405911,0.0818480841412503,0.271813541658219,0.7849,1.8733697455452,0.242025654836766,2.08152193949467,1.8394962846579
28313,0.875,0.572916666666667,0.989583333333333,0.416666666666667,0.377436842106517,0.24209517543985,0.377436842106517,0.37615833333476,0.339200000002997,0.135341666666667,0.1155,-0.437683884184665,0.476987810270064,0.137812274730926,0.137812274730926,-0.437683884184665,-0.914671694454729,0.0545132293161503,0.240816666668094,0.874083333333333,2.3182686542112,0.891627909295682,2.62185145416743,1.73022354487175
28323,0.891666666666667,0.541666666666667,1,0.458333333333333,0.431410416667667,0.245131250001,0.431410416667667,0.431410416667667,0.40529999995232,0.186279166666667,0.20045,-0.373219817713459,0.372047756550622,0.15498040523247,0.15498040523247,-0.373219817713459,-0.74526757426408,0.0738531317212794,0.245131250001,0.79955,2.06686401676192,0.448231687234034,2.31797833655542,1.86974664932139
28380,0.891666666666667,0.541666666666667,1,0.458333333333333,0.531638541666909,0.401796875000242,0.531638541666909,0.531638541666909,0.373999999999995,0.129841666666667,0.1167,-0.386872475847044,0.529149144190356,0.157886009551672,0.157886009551672,-0.386872475847044,-0.9160216200374,0.0526216959413354,0.401796875000242,0.8833,1.6772047110635,0.740268191675088,1.88097724605252,1.14070905437743
28389,0.925,0.375,1,0.625,0.963989583333336,0.426281250000003,0.963989583333336,0.963989583333336,0.906500000000008,0.537708333333333,0.563,-0.0394748250130304,0.241403216132404,0.286814324704346,0.286814324704346,-0.0394748250130304,-0.280878041145434,0.185692131454155,0.426281250000003,0.437,0.959553937088702,-0.428812561825569,1.03735560766346,1.46616816948903
28716,0.908333333333333,0.458333333333333,1,0.541666666666667,0.898745833342271,0.544212500008938,0.898745833342271,0.898745833342271,0.851000000119228,0.354533333333333,0.35405,-0.0768053784862872,0.378189151439988,0.271068689208133,0.271068689208133,-0.0768053784862872,-0.454994529926275,0.13147863297526,0.544212500008938,0.64595,1.01066764332627,0.117339639033953,1.11266162568029,0.995321986646339
28871,0.891666666666667,0.541666666666667,1,0.458333333333333,0.595241354166925,0.405112395833592,0.595241354166925,0.595241354166925,0.514934999991965,0.190128958333333,0.1836625,-0.253805283698405,0.495618198339883,0.197950190133708,0.197950190133708,-0.253805283698405,-0.749423482038288,0.0749560129427398,0.405112395833592,0.8163375,1.49799179849425,0.548617538611887,1.67999080204963,1.13137326343774
30041,0.916666666666667,0.416666666666667,1,0.583333333333333,0.65870520833334,0.258538541666674,0.65870520833334,0.65870520833334,0.683050000000023,0.400166666666667,0.40185,-0.194650931376028,0.216445674423118,0.217739367144138,0.217739367144138,-0.194650931376028,-0.411096605799146,0.145211192396352,0.258538541666674,0.59815,1.39161897472471,-0.738142444752596,1.51812979060877,2.25627223536137
30541,0.783333333333333,0.979166666666667,0.979166666666667,0,0.356592553188189,0.271855053188189,0.356592553188189,0.354147916662814,0.32289999997613,0.0847375,0.06635,-0.468897303052335,0.650072716645524,0.129891065726009,0.129891065726009,-0.468897303052335,-1.11897001969786,0.0348906174158821,0.269410416662814,0.912816666666667,2.19671814885022,2.74589768606278,2.74589768606278,0
30796,0.841666666666667,0.791666666666667,1,0.208333333333333,0.55439479166704,0.450853125000373,0.55439479166704,0.55439479166704,0.450099999994052,0.103541666666667,0.08615,-0.311994019222197,0.726010577624587,0.180597200139411,0.180597200139411,-0.311994019222197,-1.03800459684678,0.0422718244171771,0.450853125000373,0.91385,1.51817203068559,1.34168182615868,1.80376874932942,0.462086923170735
31490,0.916666666666667,0.416666666666667,1,0.583333333333333,0.638890625004968,0.341686458338301,0.638890625004968,0.638890625004968,0.615350000143081,0.297204166666667,0.2667,-0.209948131867126,0.335593619612936,0.212061038002702,0.212061038002702,-0.209948131867126,-0.545541751480062,0.112071970752385,0.341686458338301,0.7333,1.43477870982931,-0.142005041414299,1.56521313799561,1.70721817940991
